Area,Year,Variable,Value_efficiency,Unit,Variable_GDP per capita,Value_GDP per capita,Unit_GDP per capita,Variable_Total population with access to safe drinking-water (JMP),Value_Total population with access to safe drinking-water (JMP),Unit_Total population with access to safe drinking-water (JMP),Variable_Population affected by water related disease,Value_Population affected by water related disease,Unit_Population affected by water related disease,Variable_Gender Inequality Index (GII) [equality = 0; inequality = 1),Value_Gender Inequality Index (GII) [equality = 0; inequality = 1),Unit_Gender Inequality Index (GII) [equality = 0; inequality = 1),Variable_Human Development Index (HDI) [highest = 1],Value_Human Development Index (HDI) [highest = 1],Unit_Human Development Index (HDI) [highest = 1],Variable_Total renewable water resources per capita,Value_Total renewable water resources per capita,Unit_Total renewable water resources per capita,Variable_Agricultural water withdrawal as % of total water withdrawal,Value_Agricultural water withdrawal as % of total water withdrawal,Unit_Agricultural water withdrawal as % of total water withdrawal,Variable_Industrial water withdrawal as % of total water withdrawal,Value_Industrial water withdrawal as % of total water withdrawal,Unit_Industrial water withdrawal as % of total water withdrawal
Afghanistan,2005,SDG 6.4.1. Water Use Efficiency,0.34996106,US$/m3,GDP per capita,254.824689,current US$/inhab,Total population with access to safe drinking-water (JMP),39.1,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.743,,Human Development Index (HDI) [highest = 1],0.41,,Total renewable water resources per capita,2676.231569365,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,98.169627299,%,Industrial water withdrawal as % of total water withdrawal,0.831987591,%
Afghanistan,2006,SDG 6.4.1. Water Use Efficiency,0.380398906,US$/m3,GDP per capita,279.240934,current US$/inhab,Total population with access to safe drinking-water (JMP),40.8,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.7384,,Human Development Index (HDI) [highest = 1],0.419,,Total renewable water resources per capita,2567.706001318,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,98.169627299,%,Industrial water withdrawal as % of total water withdrawal,0.831987591,%
Afghanistan,2007,SDG 6.4.1. Water Use Efficiency,0.465071706,US$/m3,GDP per capita,363.357619,current US$/inhab,Total population with access to safe drinking-water (JMP),42.6,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.7338,,Human Development Index (HDI) [highest = 1],0.431,,Total renewable water resources per capita,2522.072379887,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,98.169627299,%,Industrial water withdrawal as % of total water withdrawal,0.831987591,%
Afghanistan,2008,SDG 6.4.1. Water Use Efficiency,0.467105176,US$/m3,GDP per capita,387.362338,current US$/inhab,Total population with access to safe drinking-water (JMP),44.4,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.7292,,Human Development Index (HDI) [highest = 1],0.436,,Total renewable water resources per capita,2472.074320097,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,98.169627299,%,Industrial water withdrawal as % of total water withdrawal,0.831987591,%
Afghanistan,2009,SDG 6.4.1. Water Use Efficiency,0.510120567,US$/m3,GDP per capita,423.407102,current US$/inhab,Total population with access to safe drinking-water (JMP),46.2,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.7246,,Human Development Index (HDI) [highest = 1],0.447,,Total renewable water resources per capita,2385.585817972,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,98.169627299,%,Industrial water withdrawal as % of total water withdrawal,0.831987591,%
Afghanistan,2010,SDG 6.4.1. Water Use Efficiency,0.537811406,US$/m3,GDP per capita,521.428191,current US$/inhab,Total population with access to safe drinking-water (JMP),48.0,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.72,,Human Development Index (HDI) [highest = 1],0.464,,Total renewable water resources per capita,2317.51543615,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,98.169627299,%,Industrial water withdrawal as % of total water withdrawal,0.831987591,%
Afghanistan,2011,SDG 6.4.1. Water Use Efficiency,0.59680125,US$/m3,GDP per capita,593.203249,current US$/inhab,Total population with access to safe drinking-water (JMP),49.8,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.715,,Human Development Index (HDI) [highest = 1],0.465,,Total renewable water resources per capita,2233.568646098,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,98.169627299,%,Industrial water withdrawal as % of total water withdrawal,0.831987591,%
Afghanistan,2012,SDG 6.4.1. Water Use Efficiency,0.64801986,US$/m3,GDP per capita,628.116539,current US$/inhab,Total population with access to safe drinking-water (JMP),51.6,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.71,,Human Development Index (HDI) [highest = 1],0.479,,Total renewable water resources per capita,2144.323930573,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,98.169627299,%,Industrial water withdrawal as % of total water withdrawal,0.831987591,%
Afghanistan,2013,SDG 6.4.1. Water Use Efficiency,0.690133495,US$/m3,GDP per capita,622.100518,current US$/inhab,Total population with access to safe drinking-water (JMP),53.4,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.705,,Human Development Index (HDI) [highest = 1],0.485,,Total renewable water resources per capita,2071.258587456,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,98.169627299,%,Industrial water withdrawal as % of total water withdrawal,0.831987591,%
Afghanistan,2014,SDG 6.4.1. Water Use Efficiency,0.72968525,US$/m3,GDP per capita,597.584579,current US$/inhab,Total population with access to safe drinking-water (JMP),55.2,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.6934,,Human Development Index (HDI) [highest = 1],0.488,,Total renewable water resources per capita,1996.869441784,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,98.169627299,%,Industrial water withdrawal as % of total water withdrawal,0.831987591,%
Afghanistan,2015,SDG 6.4.1. Water Use Efficiency,0.730115436,US$/m3,GDP per capita,554.403216,current US$/inhab,Total population with access to safe drinking-water (JMP),55.3,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.6934,,Human Development Index (HDI) [highest = 1],0.49,,Total renewable water resources per capita,1935.503042218,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,98.169627299,%,Industrial water withdrawal as % of total water withdrawal,0.831987591,%
Afghanistan,2016,SDG 6.4.1. Water Use Efficiency,0.754769083,US$/m3,GDP per capita,520.252064,current US$/inhab,Total population with access to safe drinking-water (JMP),55.3,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.6934,,Human Development Index (HDI) [highest = 1],0.491,,Total renewable water resources per capita,1886.176508877,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,98.169627299,%,Industrial water withdrawal as % of total water withdrawal,0.831987591,%
Afghanistan,2017,SDG 6.4.1. Water Use Efficiency,0.767018509,US$/m3,GDP per capita,530.149831,current US$/inhab,Total population with access to safe drinking-water (JMP),55.3,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.6934,,Human Development Index (HDI) [highest = 1],0.493,,Total renewable water resources per capita,1832.876970441,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,98.169627299,%,Industrial water withdrawal as % of total water withdrawal,0.831987591,%
Afghanistan,2018,SDG 6.4.1. Water Use Efficiency,0.800751183,US$/m3,GDP per capita,502.056771,current US$/inhab,Total population with access to safe drinking-water (JMP),55.3,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.6934,,Human Development Index (HDI) [highest = 1],0.496,,Total renewable water resources per capita,1780.750256005,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,98.169627299,%,Industrial water withdrawal as % of total water withdrawal,0.831987591,%
Afghanistan,2019,SDG 6.4.1. Water Use Efficiency,0.815189052,US$/m3,GDP per capita,500.522664,current US$/inhab,Total population with access to safe drinking-water (JMP),55.3,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.6934,,Human Development Index (HDI) [highest = 1],0.496,,Total renewable water resources per capita,1729.702583558,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,98.169627299,%,Industrial water withdrawal as % of total water withdrawal,0.831987591,%
Afghanistan,2020,SDG 6.4.1. Water Use Efficiency,0.792620091,US$/m3,GDP per capita,516.866543,current US$/inhab,Total population with access to safe drinking-water (JMP),55.3,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.6934,,Human Development Index (HDI) [highest = 1],0.496,,Total renewable water resources per capita,1676.321832238,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,98.169627299,%,Industrial water withdrawal as % of total water withdrawal,0.831987591,%
Afghanistan,2021,SDG 6.4.1. Water Use Efficiency,0.599678593,US$/m3,GDP per capita,372.548875,current US$/inhab,Total population with access to safe drinking-water (JMP),55.3,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.6934,,Human Development Index (HDI) [highest = 1],0.496,,Total renewable water resources per capita,1629.198915437,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,98.169627299,%,Industrial water withdrawal as % of total water withdrawal,0.831987591,%
Albania,2005,SDG 6.4.1. Water Use Efficiency,4.196052016,US$/m3,GDP per capita,2655.143784,current US$/inhab,Total population with access to safe drinking-water (JMP),96.0,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.367,,Human Development Index (HDI) [highest = 1],0.702,,Total renewable water resources per capita,9958.339845824,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,43.394475769,%,Industrial water withdrawal as % of total water withdrawal,16.544143887,%
Albania,2006,SDG 6.4.1. Water Use Efficiency,4.892145662,US$/m3,GDP per capita,2962.014554,current US$/inhab,Total population with access to safe drinking-water (JMP),96.0,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.3474,,Human Development Index (HDI) [highest = 1],0.709,,Total renewable water resources per capita,10055.314216916,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,40.678392355,%,Industrial water withdrawal as % of total water withdrawal,17.419562723,%
Albania,2007,SDG 6.4.1. Water Use Efficiency,5.373545824,US$/m3,GDP per capita,3587.70862,current US$/inhab,Total population with access to safe drinking-water (JMP),95.9,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.3278,,Human Development Index (HDI) [highest = 1],0.718,,Total renewable water resources per capita,10147.563039215,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,42.572971933,%,Industrial water withdrawal as % of total water withdrawal,16.950646769,%
Albania,2008,SDG 6.4.1. Water Use Efficiency,5.908667153,US$/m3,GDP per capita,4364.06141,current US$/inhab,Total population with access to safe drinking-water (JMP),95.8,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.3082,,Human Development Index (HDI) [highest = 1],0.724,,Total renewable water resources per capita,10231.430208264,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,44.544012559,%,Industrial water withdrawal as % of total water withdrawal,16.462806404,%
Albania,2009,SDG 6.4.1. Water Use Efficiency,6.446302521,US$/m3,GDP per capita,4109.893153,current US$/inhab,Total population with access to safe drinking-water (JMP),95.7,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.2886,,Human Development Index (HDI) [highest = 1],0.729,,Total renewable water resources per capita,10305.264454584,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,46.596238255,%,Industrial water withdrawal as % of total water withdrawal,15.954872411,%
Albania,2010,SDG 6.4.1. Water Use Efficiency,6.80048027,US$/m3,GDP per capita,4093.825899,current US$/inhab,Total population with access to safe drinking-water (JMP),95.6,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.269,,Human Development Index (HDI) [highest = 1],0.74,,Total renewable water resources per capita,10365.899075273,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,48.734770384,%,Industrial water withdrawal as % of total water withdrawal,15.425577234,%
Albania,2011,SDG 6.4.1. Water Use Efficiency,7.11313126,US$/m3,GDP per capita,4444.126504,current US$/inhab,Total population with access to safe drinking-water (JMP),95.5,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.261,,Human Development Index (HDI) [highest = 1],0.759,,Total renewable water resources per capita,10411.445143061,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,50.965170319,%,Industrial water withdrawal as % of total water withdrawal,14.873544412,%
Albania,2012,SDG 6.4.1. Water Use Efficiency,7.311706375,US$/m3,GDP per capita,4259.66718,current US$/inhab,Total population with access to safe drinking-water (JMP),95.4,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.253,,Human Development Index (HDI) [highest = 1],0.771,,Total renewable water resources per capita,10441.903427607,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,53.293487735,%,Industrial water withdrawal as % of total water withdrawal,14.297276625,%
Albania,2013,SDG 6.4.1. Water Use Efficiency,7.565826181,US$/m3,GDP per capita,4425.430822,current US$/inhab,Total population with access to safe drinking-water (JMP),95.2,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.245,,Human Development Index (HDI) [highest = 1],0.781,,Total renewable water resources per capita,10460.63510603,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,55.726315407,%,Industrial water withdrawal as % of total water withdrawal,13.695142135,%
Albania,2014,SDG 6.4.1. Water Use Efficiency,7.871184195,US$/m3,GDP per capita,4586.606188,current US$/inhab,Total population with access to safe drinking-water (JMP),95.1,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.2174,,Human Development Index (HDI) [highest = 1],0.787,,Total renewable water resources per capita,10471.196927155,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,58.270851551,%,Industrial water withdrawal as % of total water withdrawal,13.065359356,%
Albania,2015,SDG 6.4.1. Water Use Efficiency,9.546636225,US$/m3,GDP per capita,3950.390254,current US$/inhab,Total population with access to safe drinking-water (JMP),95.1,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.2174,,Human Development Index (HDI) [highest = 1],0.788,,Total renewable water resources per capita,10477.085538465,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,69.565217391,%,Industrial water withdrawal as % of total water withdrawal,14.163043478,%
Albania,2016,SDG 6.4.1. Water Use Efficiency,9.986275588,US$/m3,GDP per capita,4117.006969,current US$/inhab,Total population with access to safe drinking-water (JMP),95.1,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.2174,,Human Development Index (HDI) [highest = 1],0.788,,Total renewable water resources per capita,10482.242144653,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,70.264317181,%,Industrial water withdrawal as % of total water withdrawal,13.232378855,%
Albania,2017,SDG 6.4.1. Water Use Efficiency,8.420975555,US$/m3,GDP per capita,4521.752219,current US$/inhab,Total population with access to safe drinking-water (JMP),95.1,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.2174,,Human Development Index (HDI) [highest = 1],0.789,,Total renewable water resources per capita,10488.460089152,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,64.010989011,%,Industrial water withdrawal as % of total water withdrawal,10.073260073,%
Albania,2018,SDG 6.4.1. Water Use Efficiency,10.071713509,US$/m3,GDP per capita,5268.116609,current US$/inhab,Total population with access to safe drinking-water (JMP),95.1,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.2174,,Human Development Index (HDI) [highest = 1],0.791,,Total renewable water resources per capita,10496.998101851,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,68.162839248,%,Industrial water withdrawal as % of total water withdrawal,10.229645094,%
Albania,2019,SDG 6.4.1. Water Use Efficiency,8.71664116,US$/m3,GDP per capita,5359.239078,current US$/inhab,Total population with access to safe drinking-water (JMP),95.1,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.2174,,Human Development Index (HDI) [highest = 1],0.791,,Total renewable water resources per capita,10508.430579811,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,61.184792219,%,Industrial water withdrawal as % of total water withdrawal,17.771883289,%
Albania,2020,SDG 6.4.1. Water Use Efficiency,12.088882206,US$/m3,GDP per capita,5278.222282,current US$/inhab,Total population with access to safe drinking-water (JMP),95.1,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.2174,,Human Development Index (HDI) [highest = 1],0.791,,Total renewable water resources per capita,10534.213695943,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,69.338422392,%,Industrial water withdrawal as % of total water withdrawal,2.03562341,%
Albania,2021,SDG 6.4.1. Water Use Efficiency,13.075202009,US$/m3,GDP per capita,6396.461812,current US$/inhab,Total population with access to safe drinking-water (JMP),95.1,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.2174,,Human Development Index (HDI) [highest = 1],0.791,,Total renewable water resources per capita,10579.008025334,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,70.854271357,%,Industrial water withdrawal as % of total water withdrawal,1.256281407,%
Algeria,2005,SDG 6.4.1. Water Use Efficiency,16.449551957,US$/m3,GDP per capita,3131.328301,current US$/inhab,Total population with access to safe drinking-water (JMP),87.7,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.552,,Human Development Index (HDI) [highest = 1],0.694,,Total renewable water resources per capita,354.010065938,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,59.72136119,%,Industrial water withdrawal as % of total water withdrawal,6.862459855,%
Algeria,2006,SDG 6.4.1. Water Use Efficiency,16.454315703,US$/m3,GDP per capita,3500.134526,current US$/inhab,Total population with access to safe drinking-water (JMP),87.4,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.5426,,Human Development Index (HDI) [highest = 1],0.699,,Total renewable water resources per capita,348.944880646,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,59.636693915,%,Industrial water withdrawal as % of total water withdrawal,6.529778124,%
Algeria,2007,SDG 6.4.1. Water Use Efficiency,16.673286032,US$/m3,GDP per capita,3971.803658,current US$/inhab,Total population with access to safe drinking-water (JMP),87.0,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.5332,,Human Development Index (HDI) [highest = 1],0.708,,Total renewable water resources per capita,343.310363485,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,59.557554521,%,Industrial water withdrawal as % of total water withdrawal,6.218817008,%
Algeria,2008,SDG 6.4.1. Water Use Efficiency,16.712832222,US$/m3,GDP per capita,4946.563792,current US$/inhab,Total population with access to safe drinking-water (JMP),86.6,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.5238,,Human Development Index (HDI) [highest = 1],0.711,,Total renewable water resources per capita,337.493135586,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,59.483418755,%,Industrial water withdrawal as % of total water withdrawal,5.927516561,%
Algeria,2009,SDG 6.4.1. Water Use Efficiency,15.984213276,US$/m3,GDP per capita,3898.478922,current US$/inhab,Total population with access to safe drinking-water (JMP),86.2,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.5144,,Human Development Index (HDI) [highest = 1],0.72,,Total renewable water resources per capita,331.486184084,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,59.413826622,%,Industrial water withdrawal as % of total water withdrawal,5.654069339,%
