Country,Continent,Year,Value - GDP per capita,Unit - GDP per capita,Value - HDI,Unit - HDI,Value - Water Use Efficiency,Unit - Water Use Efficiency,Value - Water Stress,Unit - Water Stress,Value - Total population with access to safe drinking-water,Unit - Total population with access to safe drinking-water,Value - Total renewable water resources per capita,Unit - Total renewable water resources per capita,TSNE_1,TSNE_2
Afghanistan,Asia,2005,254.824689,current US$/inhab,0.41,,0.34996106,US$/m3,54.757019438,%,39.1,%,2676.231569365,m3/inhab/year,4.20013952255249,-11.073530197143555
Afghanistan,Asia,2006,279.240934,current US$/inhab,0.419,,0.380398906,US$/m3,54.757019438,%,40.8,%,2567.706001318,m3/inhab/year,-11.364060401916504,1.0342860221862793
Afghanistan,Asia,2007,363.357619,current US$/inhab,0.431,,0.465071706,US$/m3,54.757019438,%,42.6,%,2522.072379887,m3/inhab/year,4.556492328643799,-13.623210906982422
Afghanistan,Asia,2008,387.362338,current US$/inhab,0.436,,0.467105176,US$/m3,54.757019438,%,44.4,%,2472.074320097,m3/inhab/year,12.819169044494629,2.3770296573638916
Afghanistan,Asia,2009,423.407102,current US$/inhab,0.447,,0.510120567,US$/m3,54.757019438,%,46.2,%,2385.585817972,m3/inhab/year,8.989977836608887,8.97894287109375
Afghanistan,Asia,2010,521.428191,current US$/inhab,0.464,,0.537811406,US$/m3,54.757019438,%,48.0,%,2317.51543615,m3/inhab/year,-12.138188362121582,-7.277115345001221
Afghanistan,Asia,2011,593.203249,current US$/inhab,0.465,,0.59680125,US$/m3,54.757019438,%,49.8,%,2233.568646098,m3/inhab/year,-14.379077911376953,-0.6743043065071106
Afghanistan,Asia,2012,628.116539,current US$/inhab,0.479,,0.64801986,US$/m3,54.757019438,%,51.6,%,2144.323930573,m3/inhab/year,-11.866801261901855,-9.360620498657227
Afghanistan,Asia,2013,622.100518,current US$/inhab,0.485,,0.690133495,US$/m3,54.757019438,%,53.4,%,2071.258587456,m3/inhab/year,-12.109441757202148,-7.910706520080566
Afghanistan,Asia,2014,597.584579,current US$/inhab,0.488,,0.72968525,US$/m3,54.757019438,%,55.2,%,1996.869441784,m3/inhab/year,6.769343376159668,14.129124641418457
Afghanistan,Asia,2015,554.403216,current US$/inhab,0.49,,0.730115436,US$/m3,54.757019438,%,55.3,%,1935.503042218,m3/inhab/year,-15.018756866455078,-2.137022018432617
